,DA_price
2007-07-20 00:00:00,25.69
2007-07-20 01:00:00,26.45
2007-07-20 02:00:00,24.33
2007-07-20 03:00:00,23.57
2007-07-20 04:00:00,18.96
2007-07-20 05:00:00,25.68
2007-07-20 06:00:00,28.52
2007-07-20 07:00:00,35.1
2007-07-20 08:00:00,48.93
2007-07-20 09:00:00,54.09
2007-07-20 10:00:00,95.05
2007-07-20 11:00:00,98.43
2007-07-20 12:00:00,80.05
2007-07-20 13:00:00,52.09
2007-07-20 14:00:00,49.91
2007-07-20 15:00:00,42.49
2007-07-20 16:00:00,41.59
2007-07-20 17:00:00,39.98
2007-07-20 18:00:00,37.16
2007-07-20 19:00:00,31.28
2007-07-20 20:00:00,32.98
2007-07-20 21:00:00,30.05
2007-07-20 22:00:00,31.34
2007-07-20 23:00:00,25.51
2007-07-21 00:00:00,25.55
2007-07-21 01:00:00,23.59
2007-07-21 02:00:00,20.08
2007-07-21 03:00:00,18.04
2007-07-21 04:00:00,17.07
2007-07-21 05:00:00,17.92
2007-07-21 06:00:00,10.77
2007-07-21 07:00:00,23.49
2007-07-21 08:00:00,27.99
2007-07-21 09:00:00,35.58
2007-07-21 10:00:00,39.28
2007-07-21 11:00:00,44.91
2007-07-21 12:00:00,39.91
2007-07-21 13:00:00,34.01
2007-07-21 14:00:00,32.98
2007-07-21 15:00:00,32.0
2007-07-21 16:00:00,30.09
2007-07-21 17:00:00,32.94
2007-07-21 18:00:00,33.01
2007-07-21 19:00:00,30.09
2007-07-21 20:00:00,30.1
2007-07-21 21:00:00,29.91
2007-07-21 22:00:00,30.97
2007-07-21 23:00:00,26.08
2007-07-22 00:00:00,23.85
2007-07-22 01:00:00,20.1
2007-07-22 02:00:00,16.52
2007-07-22 03:00:00,16.3
2007-07-22 04:00:00,13.81
2007-07-22 05:00:00,11.82
2007-07-22 06:00:00,10.2
2007-07-22 07:00:00,13.43
2007-07-22 08:00:00,18.14
2007-07-22 09:00:00,22.02
2007-07-22 10:00:00,24.02
2007-07-22 11:00:00,28.41
2007-07-22 12:00:00,25.31
2007-07-22 13:00:00,23.18
2007-07-22 14:00:00,22.45
2007-07-22 15:00:00,20.97
2007-07-22 16:00:00,21.57
2007-07-22 17:00:00,24.09
2007-07-22 18:00:00,25.95
2007-07-22 19:00:00,27.31
2007-07-22 20:00:00,25.16
2007-07-22 21:00:00,25.46
2007-07-22 22:00:00,29.83
2007-07-22 23:00:00,23.57
2007-07-23 00:00:00,21.8
2007-07-23 01:00:00,18.1
2007-07-23 02:00:00,17.58
2007-07-23 03:00:00,17.63
2007-07-23 04:00:00,18.53
2007-07-23 05:00:00,22.02
2007-07-23 06:00:00,26.98
2007-07-23 07:00:00,40.05
2007-07-23 08:00:00,46.44
2007-07-23 09:00:00,50.29
2007-07-23 10:00:00,62.09
2007-07-23 11:00:00,90.16
2007-07-23 12:00:00,65.08
2007-07-23 13:00:00,56.48
2007-07-23 14:00:00,51.15
2007-07-23 15:00:00,48.68
2007-07-23 16:00:00,43.54
2007-07-23 17:00:00,41.24
2007-07-23 18:00:00,40.14
2007-07-23 19:00:00,36.24
2007-07-23 20:00:00,35.01
2007-07-23 21:00:00,29.61
2007-07-23 22:00:00,27.44
2007-07-23 23:00:00,23.07
2007-07-24 00:00:00,17.04
2007-07-24 01:00:00,9.36
2007-07-24 02:00:00,9.13
2007-07-24 03:00:00,6.25
2007-07-24 04:00:00,5.86
2007-07-24 05:00:00,10.33
2007-07-24 06:00:00,16.02
2007-07-24 07:00:00,23.34
2007-07-24 08:00:00,29.67
2007-07-24 09:00:00,33.07
2007-07-24 10:00:00,37.04
2007-07-24 11:00:00,42.54
2007-07-24 12:00:00,41.39
2007-07-24 13:00:00,37.95
2007-07-24 14:00:00,37.06
2007-07-24 15:00:00,34.02
2007-07-24 16:00:00,24.58
2007-07-24 17:00:00,22.09
2007-07-24 18:00:00,23.56
2007-07-24 19:00:00,22.05
2007-07-24 20:00:00,24.16
2007-07-24 21:00:00,24.17
2007-07-24 22:00:00,24.64
2007-07-24 23:00:00,18.07
2007-07-25 00:00:00,24.91
2007-07-25 01:00:00,23.24
2007-07-25 02:00:00,22.62
2007-07-25 03:00:00,21.23
2007-07-25 04:00:00,21.81
2007-07-25 05:00:00,26.34
2007-07-25 06:00:00,21.58
2007-07-25 07:00:00,34.03
2007-07-25 08:00:00,32.95
2007-07-25 09:00:00,36.11
2007-07-25 10:00:00,39.06
2007-07-25 11:00:00,44.92
2007-07-25 12:00:00,41.92
2007-07-25 13:00:00,38.67
2007-07-25 14:00:00,39.93
2007-07-25 15:00:00,36.54
2007-07-25 16:00:00,34.98
2007-07-25 17:00:00,36.03
2007-07-25 18:00:00,32.67
2007-07-25 19:00:00,32.92
2007-07-25 20:00:00,30.06
2007-07-25 21:00:00,30.07
2007-07-25 22:00:00,31.28
2007-07-25 23:00:00,26.71
2007-07-26 00:00:00,23.16
2007-07-26 01:00:00,19.94
2007-07-26 02:00:00,18.02
2007-07-26 03:00:00,17.08
2007-07-26 04:00:00,7.63
2007-07-26 05:00:00,20.41
2007-07-26 06:00:00,23.56
2007-07-26 07:00:00,26.08
2007-07-26 08:00:00,30.09
2007-07-26 09:00:00,35.81
2007-07-26 10:00:00,39.02
2007-07-26 11:00:00,44.63
2007-07-26 12:00:00,37.08
2007-07-26 13:00:00,35.06
2007-07-26 14:00:00,34.06
2007-07-26 15:00:00,33.1
2007-07-26 16:00:00,32.99
2007-07-26 17:00:00,29.54
2007-07-26 18:00:00,30.07
2007-07-26 19:00:00,29.07
2007-07-26 20:00:00,27.89
2007-07-26 21:00:00,26.06
2007-07-26 22:00:00,30.01
2007-07-26 23:00:00,23.13
2007-07-27 00:00:00,22.91
2007-07-27 01:00:00,19.98
2007-07-27 02:00:00,15.89
2007-07-27 03:00:00,13.91
2007-07-27 04:00:00,9.35
2007-07-27 05:00:00,16.37
2007-07-27 06:00:00,21.37
2007-07-27 07:00:00,26.52
2007-07-27 08:00:00,28.92
2007-07-27 09:00:00,27.87
2007-07-27 10:00:00,29.91
2007-07-27 11:00:00,32.64
2007-07-27 12:00:00,28.01
2007-07-27 13:00:00,27.17
2007-07-27 14:00:00,26.27
2007-07-27 15:00:00,26.13
2007-07-27 16:00:00,27.0
2007-07-27 17:00:00,27.98
2007-07-27 18:00:00,30.02
2007-07-27 19:00:00,30.04
2007-07-27 20:00:00,30.06
2007-07-27 21:00:00,29.21
2007-07-27 22:00:00,30.57
2007-07-27 23:00:00,23.35
2007-07-28 00:00:00,25.58
2007-07-28 01:00:00,23.98
2007-07-28 02:00:00,24.07
2007-07-28 03:00:00,23.51
2007-07-28 04:00:00,23.1
2007-07-28 05:00:00,23.03
2007-07-28 06:00:00,16.84
2007-07-28 07:00:00,23.49
2007-07-28 08:00:00,28.95
2007-07-28 09:00:00,32.91
2007-07-28 10:00:00,33.02
2007-07-28 11:00:00,33.45
2007-07-28 12:00:00,29.91
2007-07-28 13:00:00,27.74
2007-07-28 14:00:00,24.99
2007-07-28 15:00:00,23.98
2007-07-28 16:00:00,23.04
2007-07-28 17:00:00,23.1
2007-07-28 18:00:00,23.15
2007-07-28 19:00:00,23.51
2007-07-28 20:00:00,23.96
2007-07-28 21:00:00,24.04
2007-07-28 22:00:00,24.04
2007-07-28 23:00:00,21.53
2007-07-29 00:00:00,17.97
2007-07-29 01:00:00,15.49
2007-07-29 02:00:00,12.13
2007-07-29 03:00:00,9.8
2007-07-29 04:00:00,8.09
2007-07-29 05:00:00,9.05
2007-07-29 06:00:00,6.42
2007-07-29 07:00:00,10.24
2007-07-29 08:00:00,14.81
2007-07-29 09:00:00,17.99
2007-07-29 10:00:00,21.66
2007-07-29 11:00:00,23.21
2007-07-29 12:00:00,22.03
2007-07-29 13:00:00,20.45
2007-07-29 14:00:00,17.92
2007-07-29 15:00:00,15.97
2007-07-29 16:00:00,15.06
2007-07-29 17:00:00,17.73
2007-07-29 18:00:00,22.66
2007-07-29 19:00:00,22.31
2007-07-29 20:00:00,22.15
2007-07-29 21:00:00,23.16
2007-07-29 22:00:00,23.63
2007-07-29 23:00:00,19.86
2007-07-30 00:00:00,18.25
