"MTU (CET)","Generation - Sum [MW] (D) / BZN|DE-AT-LU","Generation - Solar  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] (D) / BZN|DE-AT-LU"
"01.01.2017 00:00 - 01.01.2017 00:15 (CET)","16451","0","3340","13111"
"01.01.2017 00:15 - 01.01.2017 00:30 (CET)","16397","0","3338","13059"
"01.01.2017 00:30 - 01.01.2017 00:45 (CET)","16351","0","3339","13012"
"01.01.2017 00:45 - 01.01.2017 01:00 (CET)","16304","0","3339","12965"
"01.01.2017 01:00 - 01.01.2017 01:15 (CET)","15816","0","3370","12446"
"01.01.2017 01:15 - 01.01.2017 01:30 (CET)","15767","0","3370","12397"
"01.01.2017 01:30 - 01.01.2017 01:45 (CET)","15750","0","3367","12383"
"01.01.2017 01:45 - 01.01.2017 02:00 (CET)","15529","0","3366","12163"
"01.01.2017 02:00 - 01.01.2017 02:15 (CET)","15512","0","3364","12148"
"01.01.2017 02:15 - 01.01.2017 02:30 (CET)","15438","0","3364","12074"
"01.01.2017 02:30 - 01.01.2017 02:45 (CET)","15396","0","3364","12032"
"01.01.2017 02:45 - 01.01.2017 03:00 (CET)","15381","0","3364","12017"
"01.01.2017 03:00 - 01.01.2017 03:15 (CET)","15348","0","3363","11985"
"01.01.2017 03:15 - 01.01.2017 03:30 (CET)","15303","0","3359","11944"
"01.01.2017 03:30 - 01.01.2017 03:45 (CET)","15263","0","3356","11907"
"01.01.2017 03:45 - 01.01.2017 04:00 (CET)","15322","0","3353","11969"
"01.01.2017 04:00 - 01.01.2017 04:15 (CET)","15350","0","3305","12045"
"01.01.2017 04:15 - 01.01.2017 04:30 (CET)","15364","0","3305","12059"
"01.01.2017 04:30 - 01.01.2017 04:45 (CET)","15367","0","3307","12060"
"01.01.2017 04:45 - 01.01.2017 05:00 (CET)","15332","0","3306","12026"
"01.01.2017 05:00 - 01.01.2017 05:15 (CET)","15320","0","3307","12013"
"01.01.2017 05:15 - 01.01.2017 05:30 (CET)","15358","0","3302","12056"
"01.01.2017 05:30 - 01.01.2017 05:45 (CET)","15402","0","3300","12102"
"01.01.2017 05:45 - 01.01.2017 06:00 (CET)","15433","0","3299","12134"
