"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"01.01.2016 00:00 - 01.01.2016 00:15","47222","48007"
"01.01.2016 00:15 - 01.01.2016 00:30","47215","47733"
"01.01.2016 00:30 - 01.01.2016 00:45","46513","47409"
"01.01.2016 00:45 - 01.01.2016 01:00","45914","47043"
"01.01.2016 01:00 - 01.01.2016 01:15","45252","46622"
"01.01.2016 01:15 - 01.01.2016 01:30","44485","45949"
"01.01.2016 01:30 - 01.01.2016 01:45","44171","45428"
"01.01.2016 01:45 - 01.01.2016 02:00","43756","45029"
"01.01.2016 02:00 - 01.01.2016 02:15","43363","44587"
"01.01.2016 02:15 - 01.01.2016 02:30","42883","44051"
"01.01.2016 02:30 - 01.01.2016 02:45","42633","43543"
"01.01.2016 02:45 - 01.01.2016 03:00","42527","43067"
"01.01.2016 03:00 - 01.01.2016 03:15","42474","42965"
"01.01.2016 03:15 - 01.01.2016 03:30","42353","42581"
"01.01.2016 03:30 - 01.01.2016 03:45","42267","42288"
"01.01.2016 03:45 - 01.01.2016 04:00","42140","42003"
"01.01.2016 04:00 - 01.01.2016 04:15","42178","42356"
"01.01.2016 04:15 - 01.01.2016 04:30","42470","42298"
"01.01.2016 04:30 - 01.01.2016 04:45","42340","42138"
"01.01.2016 04:45 - 01.01.2016 05:00","42500","42116"
"01.01.2016 05:00 - 01.01.2016 05:15","42992","42242"
"01.01.2016 05:15 - 01.01.2016 05:30","43071","41835"
"01.01.2016 05:30 - 01.01.2016 05:45","43171","41507"
"01.01.2016 05:45 - 01.01.2016 06:00","43262","41011"
"01.01.2016 06:00 - 01.01.2016 06:15","43751","40609"
"01.01.2016 06:15 - 01.01.2016 06:30","44421","40266"
"01.01.2016 06:30 - 01.01.2016 06:45","45173","40384"
"01.01.2016 06:45 - 01.01.2016 07:00","45461","40508"
"01.01.2016 07:00 - 01.01.2016 07:15","46668","40542"
"01.01.2016 07:15 - 01.01.2016 07:30","47433","40852"
"01.01.2016 07:30 - 01.01.2016 07:45","48655","40888"
"01.01.2016 07:45 - 01.01.2016 08:00","48750","41024"
"01.01.2016 08:00 - 01.01.2016 08:15","49888","41015"
"01.01.2016 08:15 - 01.01.2016 08:30","50149","41095"
"01.01.2016 08:30 - 01.01.2016 08:45","50384","41483"
"01.01.2016 08:45 - 01.01.2016 09:00","50872","42083"
"01.01.2016 09:00 - 01.01.2016 09:15","51514","43100"
"01.01.2016 09:15 - 01.01.2016 09:30","52369","43789"
"01.01.2016 09:30 - 01.01.2016 09:45","52700","44326"
"01.01.2016 09:45 - 01.01.2016 10:00","53340","45086"
"01.01.2016 10:00 - 01.01.2016 10:15","53667","45910"
"01.01.2016 10:15 - 01.01.2016 10:30","54714","46712"
"01.01.2016 10:30 - 01.01.2016 10:45","55087","47567"
"01.01.2016 10:45 - 01.01.2016 11:00","55449","48388"
"01.01.2016 11:00 - 01.01.2016 11:15","56207","49049"
"01.01.2016 11:15 - 01.01.2016 11:30","56956","49964"
"01.01.2016 11:30 - 01.01.2016 11:45","57552","50513"
"01.01.2016 11:45 - 01.01.2016 12:00","57622","50704"
"01.01.2016 12:00 - 01.01.2016 12:15","57380","50970"
"01.01.2016 12:15 - 01.01.2016 12:30","56999","50851"
"01.01.2016 12:30 - 01.01.2016 12:45","56503","50711"
"01.01.2016 12:45 - 01.01.2016 13:00","56230","50566"
"01.01.2016 13:00 - 01.01.2016 13:15","55645","50345"
"01.01.2016 13:15 - 01.01.2016 13:30","55730","49961"
"01.01.2016 13:30 - 01.01.2016 13:45","54973","49845"
"01.01.2016 13:45 - 01.01.2016 14:00","54001","49657"
"01.01.2016 14:00 - 01.01.2016 14:15","53854","49757"
"01.01.2016 14:15 - 01.01.2016 14:30","53618","49470"
"01.01.2016 14:30 - 01.01.2016 14:45","53099","49352"
"01.01.2016 14:45 - 01.01.2016 15:00","53780","49198"
"01.01.2016 15:00 - 01.01.2016 15:15","52845","49659"
"01.01.2016 15:15 - 01.01.2016 15:30","53341","49785"
"01.01.2016 15:30 - 01.01.2016 15:45","52646","49903"
"01.01.2016 15:45 - 01.01.2016 16:00","52863","50071"
"01.01.2016 16:00 - 01.01.2016 16:15","53350","50823"
"01.01.2016 16:15 - 01.01.2016 16:30","54251","51852"
"01.01.2016 16:30 - 01.01.2016 16:45","55043","53195"
"01.01.2016 16:45 - 01.01.2016 17:00","56574","54540"
"01.01.2016 17:00 - 01.01.2016 17:15","57717","55415"
"01.01.2016 17:15 - 01.01.2016 17:30","57985","55987"
"01.01.2016 17:30 - 01.01.2016 17:45","58853","56457"
"01.01.2016 17:45 - 01.01.2016 18:00","58547","56664"
"01.01.2016 18:00 - 01.01.2016 18:15","58927","56994"
"01.01.2016 18:15 - 01.01.2016 18:30","59115","56832"
"01.01.2016 18:30 - 01.01.2016 18:45","58950","56844"
"01.01.2016 18:45 - 01.01.2016 19:00","58663","56305"
"01.01.2016 19:00 - 01.01.2016 19:15","58231","56143"
"01.01.2016 19:15 - 01.01.2016 19:30","57082","55479"
"01.01.2016 19:30 - 01.01.2016 19:45","56880","55091"
"01.01.2016 19:45 - 01.01.2016 20:00","56294","54430"
"01.01.2016 20:00 - 01.01.2016 20:15","54780","54123"
"01.01.2016 20:15 - 01.01.2016 20:30","54030","53281"
"01.01.2016 20:30 - 01.01.2016 20:45","53187","52341"
"01.01.2016 20:45 - 01.01.2016 21:00","52661","51773"
"01.01.2016 21:00 - 01.01.2016 21:15","52034","51597"
"01.01.2016 21:15 - 01.01.2016 21:30","51796","51361"
"01.01.2016 21:30 - 01.01.2016 21:45","51107","51005"
"01.01.2016 21:45 - 01.01.2016 22:00","51157","50958"
"01.01.2016 22:00 - 01.01.2016 22:15","53665","51938"
"01.01.2016 22:15 - 01.01.2016 22:30","53493","51436"
"01.01.2016 22:30 - 01.01.2016 22:45","52926","50518"
"01.01.2016 22:45 - 01.01.2016 23:00","52117","49940"
"01.01.2016 23:00 - 01.01.2016 23:15","51318","49223"
"01.01.2016 23:15 - 01.01.2016 23:30","50710","48204"
"01.01.2016 23:30 - 01.01.2016 23:45","49484","47092"
"01.01.2016 23:45 - 02.01.2016 00:00","48725","46463"
"02.01.2016 00:00 - 02.01.2016 00:15","46755","46092"
"02.01.2016 00:15 - 02.01.2016 00:30","46715","44988"
"02.01.2016 00:30 - 02.01.2016 00:45","46301","44436"
"02.01.2016 00:45 - 02.01.2016 01:00","45947","43754"
"02.01.2016 01:00 - 02.01.2016 01:15","45589","43413"
"02.01.2016 01:15 - 02.01.2016 01:30","44895","42632"
"02.01.2016 01:30 - 02.01.2016 01:45","44913","42244"
"02.01.2016 01:45 - 02.01.2016 02:00","44544","42031"
"02.01.2016 02:00 - 02.01.2016 02:15","44409","42078"
"02.01.2016 02:15 - 02.01.2016 02:30","43517","42004"
"02.01.2016 02:30 - 02.01.2016 02:45","43758","41924"
"02.01.2016 02:45 - 02.01.2016 03:00","43325","41891"
"02.01.2016 03:00 - 02.01.2016 03:15","43380","42139"
"02.01.2016 03:15 - 02.01.2016 03:30","42879","41950"
"02.01.2016 03:30 - 02.01.2016 03:45","42877","41992"
"02.01.2016 03:45 - 02.01.2016 04:00","43123","42260"
"02.01.2016 04:00 - 02.01.2016 04:15","42633","42612"
"02.01.2016 04:15 - 02.01.2016 04:30","43403","42674"
"02.01.2016 04:30 - 02.01.2016 04:45","42575","42994"
"02.01.2016 04:45 - 02.01.2016 05:00","42656","43282"
"02.01.2016 05:00 - 02.01.2016 05:15","42999","43606"
"02.01.2016 05:15 - 02.01.2016 05:30","42641","43573"
"02.01.2016 05:30 - 02.01.2016 05:45","42800","43723"
"02.01.2016 05:45 - 02.01.2016 06:00","42832","44217"
"02.01.2016 06:00 - 02.01.2016 06:15","42599","44381"
"02.01.2016 06:15 - 02.01.2016 06:30","42181","44535"
"02.01.2016 06:30 - 02.01.2016 06:45","42697","45084"
"02.01.2016 06:45 - 02.01.2016 07:00","43506","45812"
"02.01.2016 07:00 - 02.01.2016 07:15","44327","46552"
"02.01.2016 07:15 - 02.01.2016 07:30","44964","47135"
"02.01.2016 07:30 - 02.01.2016 07:45","46392","48098"
"02.01.2016 07:45 - 02.01.2016 08:00","47091","49274"
"02.01.2016 08:00 - 02.01.2016 08:15","48162","50271"
"02.01.2016 08:15 - 02.01.2016 08:30","48331","51146"
"02.01.2016 08:30 - 02.01.2016 08:45","49301","51845"
"02.01.2016 08:45 - 02.01.2016 09:00","49900","53052"
"02.01.2016 09:00 - 02.01.2016 09:15","51070","54472"
"02.01.2016 09:15 - 02.01.2016 09:30","52008","55290"
"02.01.2016 09:30 - 02.01.2016 09:45","52489","56258"
"02.01.2016 09:45 - 02.01.2016 10:00","53460","57024"
"02.01.2016 10:00 - 02.01.2016 10:15","53817","57885"
"02.01.2016 10:15 - 02.01.2016 10:30","54581","58171"
"02.01.2016 10:30 - 02.01.2016 10:45","54694","58619"
"02.01.2016 10:45 - 02.01.2016 11:00","54929","58995"
"02.01.2016 11:00 - 02.01.2016 11:15","55771","59800"
"02.01.2016 11:15 - 02.01.2016 11:30","56104","60367"
"02.01.2016 11:30 - 02.01.2016 11:45","56817","60924"
"02.01.2016 11:45 - 02.01.2016 12:00","56849","61152"
"02.01.2016 12:00 - 02.01.2016 12:15","56613","61021"
"02.01.2016 12:15 - 02.01.2016 12:30","56114","60823"
"02.01.2016 12:30 - 02.01.2016 12:45","55858","60938"
"02.01.2016 12:45 - 02.01.2016 13:00","55770","60548"
"02.01.2016 13:00 - 02.01.2016 13:15","54914","60530"
"02.01.2016 13:15 - 02.01.2016 13:30","54691","60264"
"02.01.2016 13:30 - 02.01.2016 13:45","54385","60000"
"02.01.2016 13:45 - 02.01.2016 14:00","53725","59764"
"02.01.2016 14:00 - 02.01.2016 14:15","53278","59725"
"02.01.2016 14:15 - 02.01.2016 14:30","52666","59482"
"02.01.2016 14:30 - 02.01.2016 14:45","52512","59155"
"02.01.2016 14:45 - 02.01.2016 15:00","52513","59025"
"02.01.2016 15:00 - 02.01.2016 15:15","52436","59369"
"02.01.2016 15:15 - 02.01.2016 15:30","52920","59359"
"02.01.2016 15:30 - 02.01.2016 15:45","52170","59488"
"02.01.2016 15:45 - 02.01.2016 16:00","52682","59564"
"02.01.2016 16:00 - 02.01.2016 16:15","52499","60228"
"02.01.2016 16:15 - 02.01.2016 16:30","54039","60757"
"02.01.2016 16:30 - 02.01.2016 16:45","55216","61577"
"02.01.2016 16:45 - 02.01.2016 17:00","56459","62743"
"02.01.2016 17:00 - 02.01.2016 17:15","58121","63637"
"02.01.2016 17:15 - 02.01.2016 17:30","58644","64309"
"02.01.2016 17:30 - 02.01.2016 17:45","59607","64725"
"02.01.2016 17:45 - 02.01.2016 18:00","59604","65166"
"02.01.2016 18:00 - 02.01.2016 18:15","59752","65201"
"02.01.2016 18:15 - 02.01.2016 18:30","60200","64859"
"02.01.2016 18:30 - 02.01.2016 18:45","59783","64445"
"02.01.2016 18:45 - 02.01.2016 19:00","59205","63822"
"02.01.2016 19:00 - 02.01.2016 19:15","59329","63564"
"02.01.2016 19:15 - 02.01.2016 19:30","58071","62812"
"02.01.2016 19:30 - 02.01.2016 19:45","57681","62437"
"02.01.2016 19:45 - 02.01.2016 20:00","57828","61757"
"02.01.2016 20:00 - 02.01.2016 20:15","56256","60723"
"02.01.2016 20:15 - 02.01.2016 20:30","55007","59556"
"02.01.2016 20:30 - 02.01.2016 20:45","54400","58465"
"02.01.2016 20:45 - 02.01.2016 21:00","53160","57423"
"02.01.2016 21:00 - 02.01.2016 21:15","52931","57200"
"02.01.2016 21:15 - 02.01.2016 21:30","52075","56955"
"02.01.2016 21:30 - 02.01.2016 21:45","51980","56194"
"02.01.2016 21:45 - 02.01.2016 22:00","51829","56062"
"02.01.2016 22:00 - 02.01.2016 22:15","52464","57111"
"02.01.2016 22:15 - 02.01.2016 22:30","52954","56313"
"02.01.2016 22:30 - 02.01.2016 22:45","52258","55792"
"02.01.2016 22:45 - 02.01.2016 23:00","51662","55007"
"02.01.2016 23:00 - 02.01.2016 23:15","50914","54295"
"02.01.2016 23:15 - 02.01.2016 23:30","50467","53439"
"02.01.2016 23:30 - 02.01.2016 23:45","49094","52458"
"02.01.2016 23:45 - 03.01.2016 00:00","48010","51568"
"03.01.2016 00:00 - 03.01.2016 00:15","46823","50908"
"03.01.2016 00:15 - 03.01.2016 00:30","46126","50088"
